Year,Reserve Type,Réserves,Discretionary Reserves,Fonds de réserve discrétionnaires,Opening,Closing,Ouverture,Ferme
2023,Combined Operating/Capital,Fonctionnement et Immobilisations,Stormwater Reserve,Fonds de réserve des services d’eaux pluviales,11873,"15,339",11873,"15,339"
2023,Combined Operating/Capital,Fonctionnement et Immobilisations,Wastewater Reserve,Fonds de réserve des services d’eaux usées,49185,17416,49185,17416
2023,Combined Operating/Capital,Fonctionnement et Immobilisations,Water Reserve,Fonds de réserve des services d’eau,126422,117784,126422,117784
2024,Combined Operating/Capital,Fonctionnement et Immobilisations,Ottawa Public Library Reserve,Fonds de réserve pour la Bibliothèque publique d’Ottawa,"4,669","7,509","4,669","7,509"
2024,Combined Operating/Capital,Fonctionnement et Immobilisations,Parking,Fonds de réserve pour le stationnement,"20,043","18,528","20,043","18,528"
2024,Combined Operating/Capital,Fonctionnement et Immobilisations,Road Safety Reserve Fund,Fonds de réserve pour la sécurité routière,"-6,497",579,"-6,497",579
2024,Combined Operating/Capital,Fonctionnement et Immobilisations,Solid Waste Reserve,Fonds de réserve pour la gestion des déchets solides,"-26,182","-25,240","-26,182","-25,240"
2024,Combined Operating/Capital,Fonctionnement et Immobilisations,Stormwater Reserve,Fonds de réserve des services d’eaux pluviales,"16,402","13,841","16,402","13,841"
2024,Combined Operating/Capital,Fonctionnement et Immobilisations,Wastewater Reserve,Fonds de réserve des services d’eaux usées,"17,965","10,362","17,965","10,362"
2024,Combined Operating/Capital,Fonctionnement et Immobilisations,Water Reserve,Fonds de réserve des services d’eau,"120,862","97,669","120,862","97,669"
2025,Combined Operating/Capital,Fonctionnement et Immobilisations,Ottawa Public Library Reserve,Fonds de réserve pour la Bibliothèque publique d’Ottawa,"7,509","7,864","7,509","7,864"
2025,Combined Operating/Capital,Fonctionnement et Immobilisations,Parking,Fonds de réserve pour le stationnement,"18,528","18,330","18,528","18,330"
2025,Combined Operating/Capital,Fonctionnement et Immobilisations,Road Safety Reserve Fund,Fonds de réserve pour la sécurité routière,579,"5,154",579,"5,154"
2025,Combined Operating/Capital,Fonctionnement et Immobilisations,Solid Waste Reserve,Fonds de réserve pour la gestion des déchets solides,"-25,240","-33,631","-25,240","-33,631"
2025,Combined Operating/Capital,Fonctionnement et Immobilisations,Stormwater Reserve,Fonds de réserve des services d’eaux pluviales,13840.52857,6250.528572,13840.52857,6250.528572
2025,Combined Operating/Capital,Fonctionnement et Immobilisations,Wastewater Reserve,Fonds de réserve des services d’eaux usées,10361.75602,8803.75602,10361.75602,8803.75602
2025,Combined Operating/Capital,Fonctionnement et Immobilisations,Water Reserve,Fonds de réserve des services d’eau,97668.7156,67601.7156,97668.7156,67601.7156
2021,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Building Code Cap,Code du bâtiment - Immobilisations,7712,6375,7712,6375
2021,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Building Code Insurance Fund,Code du bâtiment - Assurance,6915.001,7137,6915.001,7137
2021,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Building Code Stabilization,Code du bâtiment - Stabilisation,15844.001,20178,15844.001,20178
2021,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Federal Gas Tax,Taxe fédérale,19191.001,95243,19191.001,95243
2021,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Provincial Gas Tax,Taxe provinciale,239.001,1178.001,239.001,1178.001
2022,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Building Code Cap,Code du bâtiment - Immobilisations,6375,4192,6375,4192
2022,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Building Code Insurance Fund,Code du bâtiment - Assurance,7137,7479.001,7137,7479.001
2022,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Building Code Stabilization,Code du bâtiment - Stabilisation,"20,178","20,315","20,178","20,315"
2022,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Federal Gas Tax,Taxe fédérale,"95,243","120,305","95,243","120,305"
2022,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Provincial Gas Tax,Taxe provinciale,"1,178",95,"1,178",95
2023,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Building Code Cap,Code du bâtiment - Immobilisations,-119,-359,-119,-359
2023,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Building Code Insurance Fund,Code du bâtiment - Assurance,"7,480","7,480","7,480","7,480"
2023,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Building Code Stabilization,Code du bâtiment - Stabilisation,"20,315","20,315","20,315","20,315"
2023,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Federal Gas Tax,Taxe fédérale,"75,386",73776,"75,386",73776
2023,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Provincial Gas Tax,Taxe provinciale,-7328,-5751,-7328,-5751
2024,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Building Code Cap,Code du bâtiment - Immobilisations,-234,-56.672,-234,-56.672
2024,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Building Code Insurance Fund,Code du bâtiment - Assurance,7480,6000.877,7480,6000.877
2024,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Building Code Stabilization,Code du bâtiment - Stabilisation,20313.5,15834.745,20313.5,15834.745
2024,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Federal Gas Tax,Taxe fédérale,43955.5,31004.38081,43955.5,31004.38081
2024,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Provincial Gas Tax,Taxe provinciale,1709,405.65571,1709,405.65571
2025,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Building Code Cap,Code du bâtiment - Immobilisations,-56.672,-56.672,-56.672,-56.672
2025,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Building Code Insurance Fund,Code du bâtiment - Assurance,6000.877,6000.877,6000.877,6000.877
2025,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Building Code Stabilization,Code du bâtiment - Stabilisation,"15,835",15834.745,"15,835",15834.745
2025,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Federal Gas Tax,Taxe fédérale,31004.38081,18944.38081,31004.38081,18944.38081
2025,Restricted Reserves,Fonds de réserve assujettis à des restrictions,Provincial Gas Tax,Taxe provinciale,405.65571,5840.65571,405.65571,5840.65571
2021,Capital,Immobilisations,CIL  - Parkland City wide,Fonds de réserve pour les frais relatifs aux terrains à vocation de parc – Toute la ville,18640,21523,18640,21523
2021,Capital,Immobilisations,CIL - Parkland by Ward,Fonds de réserve pour les frais relatifs aux terrains à vocation de parc – Districts,41775,52947,41775,52947
2021,Capital,Immobilisations,City Wide Capital Reserve,Fonds de réserve pour immobilisations de la Ville,71.151,98691,71.151,98691
2021,Capital,Immobilisations,Fleet Reserve,Fonds de réserve du parc automobile,"4,348","5,813","4,348","5,813"
2021,Capital,Immobilisations,Housing Reserve,Fonds de réserve pour le logement social,5446,493,5446,493
2021,Capital,Immobilisations,Ottawa Public Health,Santé publique Ottawa,100,127,100,127
2021,Capital,Immobilisations,Parks Rec Facilities Reserve,Fonds de réserve pour la sécurité routière,0,0,0,0
2021,Capital,Immobilisations,Police Capital Reserve,Fonds de réserve pour immobilisations du service de police,7714,"3,549",7714,"3,549"
2021,Capital,Immobilisations,Police Fleet Reserve,Fonds de réserve du parc automobile du service de police,11,297,11,297
2021,Capital,Immobilisations,Transit Capital Reserve,Fonds de réserve pour immobilisations du Service de transport en commun,18601,28333,18601,28333
2022,Capital,Immobilisations,CIL  - Parkland City wide,Fonds de réserve pour les frais relatifs aux terrains à vocation de parc – Toute la ville,21523,"27,190",21523,"27,190"
2022,Capital,Immobilisations,CIL - Parkland by Ward,Fonds de réserve pour les frais relatifs aux terrains à vocation de parc – Districts,"52,947","59,262","52,947","59,262"
2022,Capital,Immobilisations,City Wide Capital Reserve,Fonds de réserve pour immobilisations de la Ville,"98,691",100130,"98,691",100130
2022,Capital,Immobilisations,Fleet Reserve,Fonds de réserve du parc automobile,5813,3,5813,3
2022,Capital,Immobilisations,Housing Reserve,Fonds de réserve pour le logement social,8.006,13580,8.006,13580
2022,Capital,Immobilisations,Ottawa Public Health,Santé publique Ottawa,127,328,127,328
2022,Capital,Immobilisations,Parks Rec Facilities Reserve,Fonds de réserve pour la sécurité routière,0,1884,0,1884
2022,Capital,Immobilisations,Police Capital Reserve,Fonds de réserve pour immobilisations du service de police,-1688,5603,-1688,5603
2022,Capital,Immobilisations,Police Fleet Reserve,Fonds de réserve du parc automobile du service de police,297,420,297,420
2022,Capital,Immobilisations,Transit Capital Reserve,Fonds de réserve pour immobilisations du Service de transport en commun,43394,38375,43394,38375
2023,Capital,Immobilisations,CIL  - Parkland City wide,Fonds de réserve pour les frais relatifs aux terrains à vocation de parc – Toute la ville,12806,13159,12806,13159
2023,Capital,Immobilisations,CIL - Parkland by Ward,Fonds de réserve pour les frais relatifs aux terrains à vocation de parc – Districts,22229,24779,22229,24779
2023,Capital,Immobilisations,City Wide Capital Reserve,Fonds de réserve pour immobilisations de la Ville,99700,61507,99700,61507
2023,Capital,Immobilisations,Fleet Reserve,Fonds de réserve du parc automobile,4,35,4,35
2023,Capital,Immobilisations,Housing Reserve,Fonds de réserve pour le logement social,13581,17121,13581,17121
2023,Capital,Immobilisations,Ottawa Public Health,Santé publique Ottawa,329,254,329,254
2023,Capital,Immobilisations,Parks Rec Facilities Reserve,Fonds de réserve pour la sécurité routière,1884,1884,1884,1884
2023,Capital,Immobilisations,Police Capital Reserve,Fonds de réserve pour immobilisations du service de police,5604,20185,5604,20185
2023,Capital,Immobilisations,Police Fleet Reserve,Fonds de réserve du parc automobile du service de police,420,136,420,136
2023,Capital,Immobilisations,Transit Capital Reserve,Fonds de réserve pour immobilisations du Service de transport en commun,38376,15425,38376,15425
2024,Capital,Immobilisations,CIL  - Parkland City wide,Fonds de réserve pour les frais relatifs aux terrains à vocation de parc – Toute la ville,6760,2559.196071,6760,2559.196071
2024,Capital,Immobilisations,CIL - Parkland by Ward,Fonds de réserve pour les frais relatifs aux terrains à vocation de parc – Districts,21280,20309.75757,21280,20309.75757
2024,Capital,Immobilisations,City Wide Capital Reserve,Fonds de réserve pour immobilisations de la Ville,64482.6,50351.94421,64482.6,50351.94421
